source_id,source_name_en,source_name_ja,vendor,platform_version,application_version,application_build,observed_at,acquisition_method,official_url,distribution_url,distribution_sha256,sound_name,event_type,relative_path,sha256,duration_seconds,sample_rate_hz,channel_count,integrated_lufs,maximum_momentary_lufs,maximum_short_term_lufs,loudness_range_lu,true_peak_dbtp,sample_peak_dbfs,rms_dbfs,active_rms_dbfs,sample_crest_factor_db,true_peak_crest_factor_db,spectral_centroid_hz,peak_frequency_hz,speech_band_200_8000_hz_energy_percent,analysis_profile,ffmpeg_version,analyzed_at
apple-screen-sharing,Screen Sharing,画面共有,Apple,26.6.1,6.1,764.2,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/share-the-screen-of-another-mac-mh14066/mac,,,SessionStarted,completion,Contents/Resources/SessionStarted.aiff,8ea649d0008bdb2db56200e65bb261f162854dcd76f228317b5e1509f8b2823e,0.997778,44100,2,-24.5,-22.3,,,-13.6,-13.58,-28.395,-27.326,14.815,14.795,408.283,495.264,99.845,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:23Z
apple-tv,TV,TV,Apple,26.6.1,1.6.6,1.6.6,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/tvapp-mac/welcome/mac,,,axloadcomplete,completion,Contents/Resources/axloadcomplete.aif,bed20955e39d115c36f6f0b975fbf0d18ddb9094d2db7e0bcce2d7434de3e7e3,0.175805,44100,2,-27.4,-27.1,,,-10.7,-10.766,-26.692,-26.546,15.927,15.992,983.39,829.028,99.998,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:22Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_asmr_message1,message,Contents/Resources/discord_asmr_message1.m4a,6434271b459fce2374bfa7eaadc359fca08012d0b36b5af75c2dab234fe4589e,1.001333,48000,2,-29.2,-26.8,,,-12.8,-12.864,-32.36,-32.267,19.496,19.56,1360.046,23.438,29.538,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:24Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_bit_message1,message,Contents/Resources/discord_bit_message1.m4a,189c714abe2c3f56be62b8a533481ff7798735739c648453ca47c90aaa41e971,0.617333,48000,2,-27.3,-24.9,,,-7.0,-7.32,-29.489,-29.366,22.17,22.489,818.627,70.312,60.1,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:24Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_bop_message1,message,Contents/Resources/discord_bop_message1.m4a,aa864b7689fc0bbb376ea542d5126152a79b06c6298fb92d539f60b3c76c498f,0.34,48000,2,-25.9,-23.7,,,-8.3,-8.315,-25.384,-22.375,17.069,17.084,463.245,527.344,96.83,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:24Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_discodo,message,Contents/Resources/discord_discodo.m4a,157d282f85a1d4fb98937c4292c0e595319c602cd0583822fd77793cd4e965ee,1.182766,44100,2,-25.2,-22.4,,,-11.6,-11.659,-30.426,-28.618,18.768,18.826,2232.83,247.632,75.44,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:24Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_ducky_message1,message,Contents/Resources/discord_ducky_message1.m4a,526644950a6245c14dd8ecc83f4319897d5695c5c966fd0d3a1da42a539a138a,0.34,48000,2,-19.7,-18.4,,,-8.0,-7.977,-23.142,-21.977,15.165,15.142,2209.943,2191.406,99.813,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:25Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_halloween_message1,message,Contents/Resources/discord_halloween_message1.m4a,2e8c547009d276561aa67596a6fc1f14905d33494b73e7ad346c0064ce1eb8cc,1.066667,44100,2,-23.8,-20.4,,,-8.9,-8.939,-27.081,-25.126,18.142,18.181,608.004,549.097,99.976,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:25Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_lofi_message1,message,Contents/Resources/discord_lofi_message1.m4a,c1a19aec468d09df51f44d1a966af1dead35bcad3ad1a85441e594e1f1027f3a,0.788,48000,2,-22.1,-19.6,,,-8.2,-8.297,-25.643,-25.37,17.345,17.443,1183.404,832.031,99.741,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:25Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_message1,message,Contents/Resources/discord_message1.m4a,2b5a546faf54b91e258843e62f854a9d019264f70231348d5eb4ec4809981868,0.370068,44100,2,-18.7,-18.1,,,-6.0,-6.026,-20.237,-18.867,14.211,14.237,619.559,785.962,100.0,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:25Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_message2,message,Contents/Resources/discord_message2.m4a,caa0d3c47df19afb46587c62b1e4b786db054541e8e2ba1d20420708fbd7be02,0.671927,44100,2,-17.3,-15.6,,,-5.9,-5.95,-20.154,-19.124,14.204,14.254,482.279,527.563,99.693,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:25Z
discord,Discord,Discord,Discord,26.6.1,0.0.406,0.0.406,2026-08-09T05:11:22Z,local_installation,https://discord.com/download,,,discord_message3,message,Contents/Resources/discord_message3.m4a,c39dc42f389c537f08dceff6c82bb5ed6ba52fcfc5381fd9c86969d0d70e653e,0.695147,44100,2,-21.8,-19.2,,,-6.1,-6.097,-24.138,-22.793,18.041,18.038,725.507,785.962,99.968,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:53:25Z
macos-accessibility-media-events,macOS accessibility media event sounds,macOSアクセシビリティメディアイベント音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/accessibility,,,bubbleDown,ui_feedback,bubbleDown.aiff,7b15aa9504dbcdd204c04908643d8e8fdcebd20f8a0399523f8952aac59ce8a5,0.093152,44100,2,-27.4,-27.4,,,-13.1,-13.096,-23.544,-23.544,10.448,10.444,475.695,441.431,99.958,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:58:37Z
macos-accessibility-media-events,macOS accessibility media event sounds,macOSアクセシビリティメディアイベント音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/accessibility,,,bubbleUp,ui_feedback,bubbleUp.aiff,0c89043e44f4f14e618634dc84290ef01b5d9e587249d8857caa9fa2fd2435e1,1.166961,44100,2,-29.2,-27.7,,,-13.2,-13.228,-34.897,-26.531,21.669,21.697,736.72,721.362,99.999,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:58:37Z
macos-accessibility-media-events,macOS accessibility media event sounds,macOSアクセシビリティメディアイベント音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/accessibility,,,pluck1,ui_feedback,pluck1.aiff,33cb700a48858ed98945f32e9231296fdb404149381bd7bad33ebf8ede7bddb4,0.0561,44100,2,-28.9,-28.9,,,-12.6,-12.645,-23.08,-22.58,10.435,10.48,875.202,1051.698,99.998,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:58:37Z
macos-accessibility-media-events,macOS accessibility media event sounds,macOSアクセシビリティメディアイベント音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/accessibility,,,pluck2,ui_feedback,pluck2.aiff,8a7d0289907dc27ee3dd1d7f0833dc999f61d531422d9b12dc63753bbed2b95b,0.26263,44100,2,-25.5,-25.5,,,-8.0,-7.96,-25.933,-25.163,17.973,17.933,339.564,387.598,92.618,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:58:37Z
macos-accessibility-media-events,macOS accessibility media event sounds,macOSアクセシビリティメディアイベント音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/accessibility,,,scratch1,ui_feedback,scratch1.aiff,ed03619a058f5aa5cf2561c800bb6c4138650c2f98e8643ba0099e3242e01058,0.0461,44100,2,-34.6,-34.6,,,-13.1,-13.139,-29.41,-29.41,16.27,16.31,1461.675,1540.138,99.992,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:58:37Z
macos-accessibility-media-events,macOS accessibility media event sounds,macOSアクセシビリティメディアイベント音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/accessibility,,,scratch2,ui_feedback,scratch2.aiff,ed03619a058f5aa5cf2561c800bb6c4138650c2f98e8643ba0099e3242e01058,0.0461,44100,2,-34.6,-34.6,,,-13.1,-13.139,-29.41,-29.41,16.27,16.31,1461.675,1540.138,99.992,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:58:37Z
macos-accessibility-media-events,macOS accessibility media event sounds,macOSアクセシビリティメディアイベント音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/accessibility,,,success1,completion,success1.aiff,462056c28e31e1eb4a23924f079d3063c3be67b0279315df39d0207c6ba62643,0.093152,44100,2,-22.9,-22.9,,,-12.8,-12.8,-21.591,-21.441,8.791,8.791,1933.248,1765.723,99.997,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:58:37Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Antic-EncoreInfinitum,system_alert,EncoreInfinitum/Antic-EncoreInfinitum.caf,3bcd3a7ad2f7ae9c1e0f45765ce2e1f067522e8f57475caff00bfbc63f903cb9,0.957458,48000,2,-17.3,-14.8,,,-1.5,-1.465,-20.908,-19.226,19.443,19.408,541.882,585.938,99.538,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:44Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Cheers-EncoreInfinitum,system_alert,EncoreInfinitum/Cheers-EncoreInfinitum.caf,483fb3d7a4b39cd027aa0780456ddca008f6e591d5b3017fb3bcaed7e04f88da,1.239667,48000,2,-28.1,-22.8,,,-10.3,-10.276,-30.132,-27.833,19.855,19.832,544.301,527.344,99.903,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Droplet-EncoreInfinitum,system_alert,EncoreInfinitum/Droplet-EncoreInfinitum.caf,3f61db82f2483425dad52e6066a4a2fa094ed533647719feaf7d1ebefc416e76,1.299,48000,2,-28.1,-28.1,,,-9.7,-9.737,-35.442,-27.316,25.705,25.742,424.363,257.812,98.846,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Handoff-EncoreInfinitum,system_alert,EncoreInfinitum/Handoff-EncoreInfinitum.caf,1eeb5d8994547213d5cd2625cb6cca1ebee1713589c9356c20778eba47e91dda,3.842958,48000,2,-24.8,-18.4,-26.6,26.1,-9.7,-9.664,-30.068,-26.423,20.404,20.368,561.256,527.344,99.999,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Milestone-EncoreInfinitum,system_alert,EncoreInfinitum/Milestone-EncoreInfinitum.caf,1deaf0b24969994707e8193bdc88cdaa10e7a5cc8589d6185ceaac92496f5cf0,2.760625,48000,2,-30.1,-23.4,,,-9.8,-9.827,-34.599,-31.558,24.772,24.799,652.977,386.719,99.863,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Passage-EncoreInfinitum,system_alert,EncoreInfinitum/Passage-EncoreInfinitum.caf,df6310f6ed28d74cb8fb51dea3734a38f48f373152a1c45e27826faa41abd073,1.870229,48000,2,-16.7,-14.9,,,-3.0,-2.953,-23.497,-21.192,20.544,20.497,279.692,304.688,76.047,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Portal-EncoreInfinitum,system_alert,EncoreInfinitum/Portal-EncoreInfinitum.caf,a254a711aee746fe5edc84482664d73c787b97e4cf0c2e9405ad1958df1c45ab,2.0,48000,2,-27.0,-24.4,,,-13.7,-13.725,-31.799,-30.776,18.074,18.099,589.192,468.75,99.997,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Rattle-EncoreInfinitum,system_alert,EncoreInfinitum/Rattle-EncoreInfinitum.caf,fc79d637182920c818bbcb1e070d8a02c525460d203dcb09ea6dcff24e35b1c2,1.277,48000,2,-25.9,-23.7,,,-10.2,-10.208,-28.9,-28.52,18.692,18.7,427.179,445.312,99.593,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Rebound-EncoreInfinitum,system_alert,EncoreInfinitum/Rebound-EncoreInfinitum.caf,c802ae28a87d08f9a3d42e8eef27a7c1c052cf55fad996f74e2e8314ff1ee420,3.0,48000,2,-22.5,-17.8,-26.6,30.9,-1.9,-1.917,-29.462,-23.444,27.545,27.562,765.145,703.125,99.683,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Slide-EncoreInfinitum,system_alert,EncoreInfinitum/Slide-EncoreInfinitum.caf,7dce6e9605fe2dded72372d6dc651c2a83bf8b6760b8ed9d482702c33fdb0bf0,1.203771,48000,2,-26.1,-24.3,,,-16.1,-16.133,-31.509,-29.625,15.376,15.409,598.265,585.938,99.993,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Welcome-EncoreInfinitum,system_alert,EncoreInfinitum/Welcome-EncoreInfinitum.caf,b3f5c21c4db520a41ee1df3d7650cf95bd4514519371f2eefc11d67fd200681a,3.462458,48000,2,-23.9,-21.1,-26.6,19.9,-9.0,-8.994,-29.569,-26.94,20.575,20.569,485.705,621.094,78.868,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,PhotosMemoriesNotification,message,PhotosMemoriesNotification.caf,ccf12b67b8eed2487b30585037206cd89b890b3059bcc23c24173840cfb52007,2.160792,48000,2,-34.2,-30.5,,,-24.0,-24.065,-40.858,-39.768,16.793,16.858,1671.001,1710.938,99.994,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,ReceivedMessage,message,ReceivedMessage.caf,169b1d1818f640db411aa349eb218e9f9b7eb902ba2c28d3595e1530022d84ca,0.517642,44100,2,-19.6,-18.9,,,-13.1,-13.078,-22.249,-21.737,9.171,9.149,311.126,290.698,100.0,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Text-Message-Acknowledgement-Exclamation,message,Text-Message-Acknowledgement-Exclamation.caf,a1224eabb75266ff9ee2837a8da828c390bd8e87fd99c85c52afd20a6d3fdbbb,1.046508,44100,2,-24.5,-23.2,,,-12.0,-11.997,-30.956,-27.387,18.96,18.956,1139.374,882.861,99.92,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:45Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Text-Message-Acknowledgement-HaHa,message,Text-Message-Acknowledgement-HaHa.caf,7eb08433bbc35b4c1925cb816f2fd28e0b212c94fc2789a00d8739cebedef1ba,0.227755,44100,1,-29.3,-28.0,,,-16.0,-16.001,-26.275,-25.922,10.274,10.275,1261.173,1173.56,99.992,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:46Z
macos-alert-tones,macOS alert tones,macOS通知音,Apple,26.6.1,26.6.1,25G76,2026-08-09T05:11:22Z,local_installation,https://support.apple.com/guide/mac-help/change-alert-sounds-mchlp2207/mac,,,Text-Message-Acknowledgement-Heart,message,Text-Message-Acknowledgement-Heart.caf,84644f45cb13ade3e608b287ea23d0e7584baa21574313513a4ee02407acccd7,0.857619,44100,1,-25.3,-21.4,,,-6.0,-5.999,-25.085,-23.461,19.086,19.085,1378.485,882.861,99.992,notification-sound-db-bs1770-v1,ffmpeg version 8.1.2 Copyright (c) 2000-2026 the FFmpeg developers,2026-08-09T04:57:46Z
